tieu_de,dia_chi,mo_ta,loai_hinh,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,quan,gia_ban_num,dien_tich_num,dien_tich_dat_num,dien_tich_su_dung_num,chieu_ngang_num,chieu_dai_num,gia_m2_num,log_gia_ban,so_phong_ve_sinh_missing,tong_so_tang_missing,chieu_ngang_num_missing,chieu_dai_num_missing,kw_mat_tien,kw_hem_xe_hoi,kw_so_hong,kw_gan_cho,kw_gan_truong,kw_thuong_mai,kw_nha_pho,is_outlier_any_6cols,outlier_count_6cols
BÁN NHÀ 6x21 ĐƯỜNG BÌNH LỢI GIÁ CHỈ 16 TỶ,"Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","Chính chủ cần bán gấp căn nhà Phố đường Bình Lợi, P13, Bình Thạnh
Diện tích 6x21m vuông vức
Kết cấu: Trệt 2 Lầu Sân thượng
Vị trí đẹp cách công viên và bờ sông chỉ 100m. Đường 12m hai làn xe vủa hè rộng thoáng mát!
Khu dân cư dân trí, rất tốt để an cư lạc nghiêpk, hoặc làm vpcty
Giá bán giảm còn 16 tỷ có bớt cho khách mua bán nhanh!
Liên hệ A Minh để xem nhà!",Nhà phố liền kề,Đã có sổ,5.0,5,4,Không rõ,Hẻm xe hơi,Binh Thanh,16.0,125.0,125.0,410.0,6.0,21.0,128.0,2.833213344056216,0,0,0,0,0,0,1,0,0,0,1,True,1
Chính chủ bán toà nhà chdv thu nhập hơn 100tr/t hẻm oto,"Đường Trần Bình Trọng, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","-Bán CHDV full NT Trần Bình Trọng p5 Bình Thạnh đường nhựa trước nhà 6m cách mt 10m Dt 4,5*20m kết cấu Hầm + 6 tầng + st có 14p full nt thang máy có thể làm thêm đc 2-3 phòng đang khai thác hơn 
100tr/thg",Nhà phố liền kề,Đã có sổ,11.0,7,8,Nội thất cao cấp,Hẻm xe hơi,Binh Thanh,22.5,90.0,90.0,420.0,4.5,20.0,250.0,3.157000421150113,0,0,0,0,1,1,1,0,0,0,0,True,2
"CHDV CHU VĂN AN. 79M2 5 TẦNG. CHO THUÊ 35TR. HXH SÁT MT. CHỈ 11,X TỶ","Đường Chu Văn An, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","💰💰GẤP BÁN TRƯỚC TẾT!!

👆 TOÀ CHDV CHU VĂN AN - NGAY HỌC VIỆN CB - 79M2 NGANG 7,7M - HXH NGAY MẶT TIỀN - CHO THUÊ 40TR/TH - BÁN 11,X TỶ TL",Nhà phố liền kề,Đã có sổ,7.0,7,5,Nội thất đầy đủ,Hẻm xe hơi,Binh Thanh,11.98,79.0,79.0,280.0,7.7,12.0,151.65,2.563409711275944,0,0,0,0,1,1,0,0,0,0,0,True,1
Chính chů bán nhà băch đăng bình thanh,"118/, Đường Bạch Đằng, Phường 24, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","- Bán nhà 4 tâng chính chů bình thanh 
- Giá : 5 ty 200 tr thương lương 
- Kêt câu : 1 trêt 3 lâu 1 chuôn cu trên sân thương 
- Gôm : 5 phòng ngu 4 vê sinh 
- DT : 2m10 x 12m nơ hâu 4m90 
Dtcn 35m dtsn 113m1 sàn bê tông côt thép 
- Vi trí : nhà hem xe hơi cách măt tiên 5m hem thông thoang khu an ninh yên tinh 
- Giá : 5 ty 200 tr thương lương 
LH : *** xem nhà trưc tiêp chu","Nhà ngõ, hẻm",Đã có sổ,5.0,4,4,Không rõ,Nhà nở hậu,Binh Thanh,5.2,35.0,35.0,113.1,2.1,12.0,148.57,1.824549292051046,0,0,0,0,0,1,0,0,0,0,0,True,1
"DÃY TRỌ 115M2 - NGUYỄN HỮU CẢNH - HẺM VIP GẦN MT - CHỈ 9,X TỶ TL","Cầu vượt Nguyễn Hữu Cảnh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Thạnh Mỹ Tây, TP Hồ Chí Minh mới)","🌹🌹 GIẢM MẠNH 2TỶ - CÒN 9,X 🧄

📍NGUYỄN HỮU CẢNH - DÃY TRỌ 115M2 (11x10 VUÔNG VỨC) - SIÊU VỊ TRÍ - THÍCH HỢP ĐẦU TƯ","Nhà ngõ, hẻm",Đã có sổ,10.0,7,1,Hoàn thiện cơ bản,Không rõ,Binh Thanh,9.99,115.0,115.0,115.0,11.5,10.0,86.87,2.39698576841553,0,0,0,0,1,0,0,0,0,0,0,True,3
"Hẻm xe hơi Công Viên Tầm Vu , Viêw Thanh Đa , Sông Sài Gòn","Đường Tầm Vu, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Hẻm xe hơi Công Viên Tầm Vu , Viêw Thanh Đa , Sông Sài Gòn 
Dt 4,6×16( nở hậu 5,2m) nhà 6,5 Tấm , 8 căn hộ 30_50m2 ( có thể cải tại 20_22 chdv)
Giá bán 13ty4

Khu vip p25_26
LH ***","Nhà ngõ, hẻm",Đã có sổ,8.0,7,6,Nội thất đầy đủ,Hẻm xe hơi,Binh Thanh,13.4,73.6,73.6,73.6,4.6,16.0,182.07,2.667228206581955,0,0,0,0,0,1,0,0,0,0,0,True,1
"BÁN BIỆT THỰ 300m2 View Công Viên Bình Lợi Giá chỉ 29,9tỷ Thương Lượng","Đường Bình Lợi, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","Gia đình đi Mỹ định cư cần bán Biệt thự view công viên VIP đường Bình Lợi, P13, Q. Bình Thạnh.
- Diện tích: 20 x 15m, DTCN: 300m². Diện tích sử dụng gần 400m2 .
- Kết cấu: Trệt 2 lầu.
- Hẻm nhựa rộng 12m, có vỉa hè, đối diện là công viên nội khu, xanh sạch và thoáng.. 
- Gần mặt tiền, gần sông Sài Gòn mát mẻ, khu cư dân cao cấp, bảo vệ 24/7.
- Giá bán gấp chỉ: 29,9 tỷ Còn thương lượng cho khách thiện chí.
- Liên hệ: SDT A Minh đại diện chủ nhà tiếp khách.",Nhà biệt thự,Đã có sổ,6.0,5,3,Nội thất đầy đủ,Hẻm xe hơi,Binh Thanh,29.9,300.0,300.0,460.0,20.0,15.0,99.67,3.4307561839036995,1,0,0,0,1,0,0,0,0,0,1,True,2
"Bán gấp CHDV hẻm xe hơi 11 PN, gần chợ Cây Quéo, Phường 6 Bình Thạnh","Nguyễn Văn Đậu, Phường 6, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","- Nhà DT 70m, đang khai thác sẵn dòng tiền hơn 3ootr/năm, gần chợ Cây Quéo, Nguyễn Văn Đậu, Bình Lợi Trung Bình Thạnh
- Nhà vào hẻm xe hơi, khu có nhu cầu thuê cao, tiếp giáp Phú Nhuận, Gò Vấp, tiện di chuyển Quận 1, Tân Bình...
- Tiện ích xung quanh đầy đủ, gần chợ Cây Quéo, cách chợ Bà Chiểu cũng không xa, gần bệnh viện Gia Định, khu ẩm thực Phan Xích Long, khu có nhiều công ty văn phòng
- Chủ gấp bán, giá nhỉnh 9tTL, khu dân trí cao, hàng xóm nhà cao tầng
- Sổ riêng, pháp lý sạch, hoàn công đủ, mua bán công chứng trong ngày

Liên hệ em Thu xem nhà, thương lượng trao đổi trực tiếp với chủ nhà","Nhà ngõ, hẻm",Đã có sổ,11.0,8,6,Không rõ,Hẻm xe hơi,Binh Thanh,9.9,70.0,70.0,70.0,5.188004032796706,19.248677780520072,141.43,2.388762789235098,1,1,1,1,0,1,0,1,0,0,0,True,2
🏡 CHDV NƠ TRANG LONG – BÌNH THẠNH | 88m² – 3 TẦNG – 10 CĂN HỘ DV 💰,"Đường Nơ Trang Long, Phường 13, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","📍 Vị trí đắc địa:
- Nằm sau lưng mặt tiền Đ. Nơ Trang Long, P13, Bình Thạnh, chỉ 10 bước ra mặt tiền.
- Khu trung tâm Bình Thạnh, dân cư đông, tiện ích bao quanh, vị trí vàng khai thác CHDV.

🏚️ Hiện trạng – Công năng:
- Diện tích: 88m² (8x11m), vuông vức A4, nở hậu nhẹ, phong thuỷ cực đẹp.
- Kết cấu: 3 tầng BTCT kiên cố, hoàn công đủ.
- Thiết kế: Gồm 9 phòng master full nội thất cao cấp + 1 phòng chờ, sẵn hệ thống PCCC, ban công thoáng, sân để xe rộng.
- Dòng tiền thực tế: hơn 70 triệu/tháng, tương đương 8%/năm – tiềm năng tăng giá và khai thác cao.

📜 Pháp lý – Tài chính:
- Sổ hồng riêng, hoàn công đầy đủ, công chứng sang tên ngay.

GEI.J","Nhà ngõ, hẻm",Đã có sổ,9.0,7,3,Nội thất đầy đủ,Hẻm xe hơi,Binh Thanh,10.8,88.0,88.0,88.0,8.0,11.0,122.73,2.468099531471619,0,0,0,0,1,0,1,0,0,0,0,True,2
"bán đất mặt tiền Nguyên Hồng P11 BT , dc xây dựng 7 lầu st","Đường Nguyên Hồng, Phường 11, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","🌇MẶT TIỀN NGUYÊN HỒNG, P11 BÌNH THẠNH

🍀DT 4.8 X 25.5 - nở hậu đẹp 11m 
🍀DT đất tổng 185m2 
🍀DTCN sau lộ giới 155m2 

💎Mặt Tiền Được Xây Dựng Cao Tầng ( 7-8 tầng ) tiện khai thác tối ưu dòng tiền như CHDV, Hotel, Spa, Công Ty, ..... 
💎Vị trí gần ngã 3 Phan Văn Trị ... CHỢ CÂY THỊ

💵 Giá bán: 32.6 tỷ TL","Nhà mặt phố, mặt tiền",Đã có sổ,1.0,2,2,Không rõ,Không rõ,Binh Thanh,32.6,155.0,155.0,185.0,4.8,25.5,210.32,3.5145260669691587,1,1,0,0,1,0,0,0,0,0,1,True,1
🏡 SIÊU PHẨM LÊ QUANG ĐỊNH – BÌNH THẠNH | 161m² – HẺM Ô TÔ 7 CHỖ 🚗,"Đường Lê Quang Định, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","📍 Vị trí đắc địa
   - Cách Lê Quang Định chỉ 30m, hẻm rộng – ô tô 7 chỗ vào tận nhà.
   - Khu vực dân trí cực cao, xung quanh toàn biệt thự – nhà đẹp.
⸻

🏚️ Hiện trạng – Công năng
   - Diện tích chuẩn VIP: 7m × 23m (161m²) – ngang siêu hiếm.
   - Nhà 2 tầng gồm:
      •   12 phòng,
      •   12 WC,
  - Thiết kế tối ưu khai thác dòng tiền.
  - Hiện đang cho thuê nguyên căn, dòng tiền ổn định.
⸻
📜 Pháp lý – Tài chính
  - Sổ hồng riêng, pháp lý chuẩn, công chứng trong ngày.","Nhà ngõ, hẻm",Đã có sổ,11.0,7,2,Nội thất đầy đủ,Hẻm xe hơi,Binh Thanh,7.4,161.0,161.0,161.0,5.735024232426918,21.371508197878928,45.96,2.128231705849268,0,0,1,1,0,1,1,0,0,0,1,True,2
"NHÀ GÓC 2 MẶT HXH Giáp Phú Nhuận, QUẬN 1 - Nội Thất Cao Cấp","49/30/4, Đường Nguyễn Văn Đậu, Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Lợi Trung, TP Hồ Chí Minh mới)","Do có nhu cầu mua nhà lớn hơn nên tôi cần bán lại căn nhà tâm huyết ở đường Nguyễn Văn Đậu, Phường 5, Quận Bình Thạnh:
_ Căn góc 2 Mặt Hẻm Xe Hơi thông thoáng. DT: 7.2x5.6m (DT công nhận 38.1 m2) DTSD: 76.2 m2, Hoàn công đủ.
_ Nhà có kết cấu 1 trệt, 1 lầu: gồm 2 phòng ngủ ,2 WC, ban công, phòng khách, bếp.
_ Nhà đang ở, có sẵn nội thất mới, đẹp và cao cấp. 
_ Khu dân trí cao, an ninh, yên tĩnh, sạch sẽ. 
_ Vị trí trung tâm, di chuyển thuận lợi: hẻm xe hơi thông với đường Hoàng Hoa Thám, Nguyễn Văn Đậu, có nhiều hướng để về nhà - không sợ kẹt xe, đi đâu cũng gần.
_ Không bao giờ ngập, giáp Phú Nhuận, quận 1 - cách chợ Cây Quéo và các tiện ích khác (cơ quan nhà nước, ngân hàng, bệnh viện, trường học, bách hóa xanh, ...) chỉ vài trăm mét.
_ Giấy tờ nhà đầy đủ, chính chủ.

Mức giá mong muốn: 6,4 tỉ (thương lượng)
Liên hệ chính chủ : *** (Zalo - Hùng)","Nhà ngõ, hẻm",Đã có sổ,2.0,2,2,Nội thất cao cấp,Hẻm xe hơi,Binh Thanh,6.4,38.1,38.1,76.2,7.2,5.6,167.98,2.0014800002101243,0,0,0,0,0,1,1,0,1,0,0,True,1
ban gap giam 1ty moi xay dung thu nhập 60tr ngay bà chiểu,"Đường Huỳnh Đình Hai, Phường 14, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Bình Thạnh, TP Hồ Chí Minh mới)","Chính chủ càn bán chdv 10 phòng 
Full nội thất pccc thang thoát hiểm đầy đủ 
Nở hậu hẻm ba gác cách hẻm xe hơi 3 căn
Các phòng đều có cửa sổ cực thoáng 
Sân rộng trước nhà đánh cầu lông thoải mái 
Sổ hồng mới tháng 06 /2025.
Mời AE môi giới dẫn khách giúp nhe","Nhà ngõ, hẻm",Đã có sổ,9.0,7,3,Nội thất cao cấp,Nhà nở hậu,Binh Thanh,10.5,73.0,73.0,220.0,4.0,17.0,143.84,2.4423470353692043,0,0,0,0,0,1,1,0,0,0,0,True,1
nhà hẻm nở hậu cần bán,"Đường Bạch Đằng, Phường 15, Quận Bình Thạnh, Tp Hồ Chí Minh (Phường Gia Định, TP Hồ Chí Minh mới)","Xuất cảnh nên bán căn nhà nở hậu rất tốt . Gần trường học , bệnh viện , siêu thị , chợ …. Cách trung tâm q1 10 phút xe máy . Nhà đang trống nên ace mua về vệ sinh xong dọn vào ở ngay . Khu dân cư yên tĩnh , an ninh , hàng xóm thân thiện ! Ace quan tâm vui lòng gọi e . Có bớt chút lộc cho ace thiện chí ạ . Nhà chính chủ đứng bán , sổ đỏ sẳn ra công chứng ngay và luôn ạ ! Cảm ơn chợ tốt và ace đã xem tin !","Nhà ngõ, hẻm",Đã có sổ,5.0,3,2,Bàn giao thô,Nhà nở hậu,Binh Thanh,13.0,120.0,120.0,166.0,5.732792466244348,18.16454338129507,108.33,2.6390573296152584,0,0,1,1,0,0,1,0,1,1,0,True,1
